                                                                                                       #config  avg(ms)    p50     p90     p99
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,56,56]   0.712   0.642   0.876   1.036
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,56,56]   0.723   0.631   0.955   1.095
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[4][256,56,56]   0.110   0.110   0.108   0.121
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[4][256,28,28]   0.485   0.412   0.689   0.897
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[4][512,28,28]   0.721   0.656   0.845   1.091
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[4][512,28,28]   0.708   0.685   0.778   1.165
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[4][512,28,28]   0.073   0.072   0.073   0.117
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[4][512,14,14]   0.378   0.379   0.465   0.495
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[4][512,14,14]   0.415   0.446   0.513   0.515
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[4][512,14,14]   0.415   0.447   0.515   0.517
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[4][512,14,14]   0.061   0.059   0.095   0.097
                                                                          flatten{"kernel_size":1}[4][512,7,7]   0.019   0.024   0.027   0.028
                                           linear{"bias":true,"in_features":25088,"out_features":4096}[4]25088   1.895   1.915   1.940   1.935
                                             linear{"bias":true,"in_features":4096,"out_features":4096}[4]4096   0.395   0.382   0.435   0.490
                                             linear{"bias":true,"in_features":4096,"out_features":1000}[4]4096   0.047   0.047   0.048   0.049
                                                                                            SUM(avg)  11.704
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[2][3,224,224]   0.343   0.354   0.353   0.359
              conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[2][64,224,224]   0.848   0.869   0.903   0.920
                                              maxPool2d{"kernel_size":2,"padding":0,"stride":2}[2][64,224,224]   0.197   0.195   0.199   0.238
             conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[2][64,112,112]   0.411   0.351   0.507   0.568
           conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[2][128,112,112]   0.598   0.570   0.758   0.830
                                             maxPool2d{"kernel_size":2,"padding":0,"stride":2}[2][128,112,112]   0.118   0.109   0.134   0.144
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][128,56,56]   0.466   0.431   0.654   0.644
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,56,56]   0.591   0.569   0.778   0.843
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,56,56]   0.590   0.542   0.801   0.814
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[2][256,56,56]   0.078   0.070   0.096   0.186
