                                                                                                       #config  avg(ms)    p50     p90     p99
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[64][256,14,14]   0.654   0.686   0.734   0.772
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[64][256,14,14]   0.663   0.691   0.756   0.769
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[64][256,14,14]   0.674   0.696   0.751   0.882
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[64][256,14,14]   0.671   0.710   0.751   0.757
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[64][256,14,14]   0.678   0.741   0.764   0.810
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":2}[64][256,14,14]   0.695   0.753   0.754   0.770
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[64][512,7,7]   0.735   0.772   0.887   0.947
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[64][512,7,7]   0.714   0.697   0.881   0.902
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[64][512,7,7]   0.701   0.610   0.858   0.892
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[64][512,7,7]   0.686   0.610   0.846   0.895
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[64][512,7,7]   0.715   0.607   0.988   1.018
                                                  adAvgPool2d{"output_height":1,"output_width":1}[64][512,7,7]   0.055   0.037   0.109   0.120
                                                                         flatten{"kernel_size":1}[64][512,1,1]   0.022   0.010   0.057   0.110
                                              linear{"bias":true,"in_features":512,"out_features":1000}[64]512   0.040   0.027   0.074   0.157
                                                                                            SUM(avg)  29.946
                                                                                                       #config  avg(ms)    p50     p90     p99
               conv2d{"in_channels":3,"kernel_size":7,"out_channels":64,"padding":3,"stride":2}[32][3,224,224]   1.799   1.804   1.815   1.833
                                             maxPool2d{"kernel_size":3,"padding":1,"stride":2}[32][64,112,112]   0.894   0.893   0.893   0.893
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[32][64,56,56]   0.585   0.584   0.584   0.584
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[32][64,56,56]   0.570   0.568   0.567   0.655
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[32][64,56,56]   0.571   0.569   0.570   0.586
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[32][64,56,56]   0.570   0.569   0.568   0.677
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[32][64,56,56]   0.571   0.570   0.571   0.660
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[32][64,56,56]   0.586   0.571   0.594   0.702
              conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":2}[32][64,56,56]   0.564   0.502   0.629   0.668
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[32][128,28,28]   0.585   0.553   0.681   0.784
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[32][128,28,28]   0.546   0.540   0.607   0.748
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[32][128,28,28]   0.554   0.580   0.585   0.767
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[32][128,28,28]   0.554   0.590   0.587   0.717
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[32][128,28,28]   0.561   0.564   0.552   0.760
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[32][128,28,28]   0.570   0.552   0.545   0.782
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[32][128,28,28]   0.637   0.612   0.658   0.844
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":2}[32][128,28,28]   0.630   0.620   0.635   0.879
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,14,14]   0.674   0.694   0.702   0.860
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,14,14]   0.637   0.670   0.700   0.693
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,14,14]   0.664   0.680   0.732   0.804
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,14,14]   0.675   0.667   0.785   0.802
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,14,14]   0.679   0.700   0.751   0.765
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,14,14]   0.688   0.740   0.752   0.752
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,14,14]   0.703   0.736   0.777   0.778
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,14,14]   0.711   0.752   0.777   0.741
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,14,14]   0.715   0.730   0.793   0.774
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,14,14]   0.718   0.734   0.807   0.787
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,14,14]   0.748   0.803   0.829   0.847
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":2}[32][256,14,14]   0.742   0.782   0.827   0.843
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[32][512,7,7]   0.790   0.825   0.897   0.899
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[32][512,7,7]   0.761   0.804   0.873   0.905
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[32][512,7,7]   0.749   0.770   0.881   0.888
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[32][512,7,7]   0.735   0.703   0.880   0.901
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[32][512,7,7]   0.810   0.788   0.959   0.979
                                                  adAvgPool2d{"output_height":1,"output_width":1}[32][512,7,7]   0.103   0.101   0.121   0.133
                                                                         flatten{"kernel_size":1}[32][512,1,1]   0.077   0.065   0.128   0.151
                                              linear{"bias":true,"in_features":512,"out_features":1000}[32]512   0.153   0.138   0.191   0.187
                                                                                            SUM(avg)  23.877
                                                                                                       #config  avg(ms)    p50     p90     p99
               conv2d{"in_channels":3,"kernel_size":7,"out_channels":64,"padding":3,"stride":2}[16][3,224,224]   0.968   0.973   0.983   0.997
                                             maxPool2d{"kernel_size":3,"padding":1,"stride":2}[16][64,112,112]   0.466   0.466   0.466   0.474
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[16][64,56,56]   0.368   0.342   0.368   0.565
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[16][64,56,56]   0.365   0.332   0.347   0.512
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[16][64,56,56]   0.485   0.515   0.482   0.684
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[16][64,56,56]   0.502   0.559   0.486   0.706
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[16][64,56,56]   0.515   0.587   0.483   0.736
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[16][64,56,56]   0.533   0.627   0.492   0.627
              conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":2}[16][64,56,56]   0.569   0.635   0.545   0.773
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[16][128,28,28]   0.556   0.643   0.513   0.900
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[16][128,28,28]   0.514   0.600   0.480   0.780
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[16][128,28,28]   0.529   0.597   0.494   0.643
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[16][128,28,28]   0.535   0.605   0.489   0.754
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[16][128,28,28]   0.542   0.616   0.493   0.734
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[16][128,28,28]   0.548   0.621   0.505   0.762
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[16][128,28,28]   0.557   0.616   0.566   0.776
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":2}[16][128,28,28]   0.633   0.676   0.748   0.734
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,14,14]   0.627   0.640   0.674   0.767
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,14,14]   0.611   0.608   0.645   0.799
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,14,14]   0.623   0.611   0.693   0.801
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,14,14]   0.625   0.611   0.720   0.727
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,14,14]   0.627   0.609   0.700   0.726
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,14,14]   0.630   0.603   0.712   0.743
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,14,14]   0.629   0.584   0.734   0.732
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,14,14]   0.627   0.565   0.725   0.764
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,14,14]   0.626   0.560   0.731   0.743
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,14,14]   0.626   0.563   0.730   0.750
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,14,14]   0.635   0.573   0.741   0.756
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":2}[16][256,14,14]   0.753   0.672   0.898   0.933
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[16][512,7,7]   0.690   0.633   0.803   0.843
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[16][512,7,7]   0.629   0.568   0.752   0.742
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[16][512,7,7]   0.623   0.572   0.756   0.767
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[16][512,7,7]   0.607   0.581   0.758   0.777
              conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[16][512,7,7]   0.640   0.633   0.769   0.768
                                                  adAvgPool2d{"output_height":1,"output_width":1}[16][512,7,7]   0.094   0.085   0.114   0.119
                                                                         flatten{"kernel_size":1}[16][512,1,1]   0.088   0.078   0.123   0.117
                                              linear{"bias":true,"in_features":512,"out_features":1000}[16]512   0.113   0.104   0.135   0.055
                                                                                            SUM(avg)  20.308
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":7,"out_channels":64,"padding":3,"stride":2}[8][3,224,224]   0.613   0.615   0.640   0.652
                                              maxPool2d{"kernel_size":3,"padding":1,"stride":2}[8][64,112,112]   0.245   0.244   0.264   0.286
