                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":64,"kernel_size":1,"out_channels":80,"padding":0,"stride":1}[4][64,73,73]   0.213   0.215   0.215   0.219
               conv2d{"in_channels":80,"kernel_size":3,"out_channels":192,"padding":0,"stride":1}[4][80,73,73]   0.724   0.727   0.736   0.725
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[4][192,71,71]   0.362   0.358   0.365   0.352
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[4][192,35,35]   0.299   0.292   0.295   0.289
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[4][192,35,35]   0.369   0.371   0.371   0.376
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[4][192,35,35]   0.308   0.306   0.311   0.311
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[4][192,35,35]   0.178   0.177   0.180   0.176
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[4][48,35,35]   0.454   0.459   0.449   0.460
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[4][64,35,35]   0.400   0.399   0.400   0.403
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":32,"padding":0,"stride":1}[4][192,35,35]   0.312   0.309   0.316   0.312
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[4][96,35,35]   0.445   0.448   0.448   0.443
                                                                         concat{"kernel_size":1}[4][256,35,35]   0.351   0.354   0.354   0.357
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[4][256,35,35]   0.375   0.376   0.375   0.390
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[4][256,35,35]   0.359   0.360   0.370   0.372
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[4][256,35,35]   0.278   0.278   0.291   0.285
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[4][256,35,35]   0.206   0.210   0.208   0.209
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[4][48,35,35]   0.431   0.441   0.440   0.445
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[4][64,35,35]   0.385   0.400   0.401   0.439
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[4][256,35,35]   0.317   0.325   0.324   0.371
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[4][96,35,35]   0.437   0.445   0.447   0.514
                                                                         concat{"kernel_size":1}[4][288,35,35]   0.348   0.350   0.351   0.382
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[4][288,35,35]   0.384   0.397   0.401   0.433
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[4][288,35,35]   0.330   0.346   0.350   0.342
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[4][288,35,35]   0.280   0.288   0.302   0.289
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[4][288,35,35]   0.212   0.220   0.221   0.222
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[4][48,35,35]   0.417   0.440   0.440   0.427
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[4][64,35,35]   0.364   0.381   0.394   0.375
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[4][288,35,35]   0.319   0.294   0.363   0.337
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[4][96,35,35]   0.412   0.388   0.451   0.461
                                                                         concat{"kernel_size":1}[4][288,35,35]   0.291   0.287   0.321   0.308
             conv2d{"in_channels":288,"kernel_size":3,"out_channels":384,"padding":0,"stride":2}[4][288,35,35]   0.614   0.591   0.662   0.655
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[4][288,35,35]   0.293   0.291   0.336   0.310
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[4][288,35,35]   0.119   0.115   0.147   0.116
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[4][64,35,35]   0.364   0.359   0.413   0.361
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":0,"stride":2}[4][96,35,35]   0.312   0.301   0.366   0.355
                                                                         concat{"kernel_size":1}[4][768,17,17]   0.318   0.323   0.323   0.341
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.355   0.346   0.402   0.404
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[4][768,17,17]   0.257   0.249   0.290   0.300
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[4][768,17,17]   0.293   0.282   0.349   0.338
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[4][768,17,17]   0.153   0.149   0.169   0.173
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[4][128,17,17]   0.318   0.310   0.351   0.359
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[4][128,17,17]   0.332   0.324   0.376   0.386
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.325   0.314   0.374   0.398
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[4][128,17,17]   0.362   0.354   0.418   0.426
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[4][128,17,17]   0.327   0.319   0.393   0.372
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[4][128,17,17]   0.332   0.324   0.379   0.376
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[4][128,17,17]   0.351   0.344   0.385   0.406
                                                                         concat{"kernel_size":1}[4][768,17,17]   0.334   0.324   0.351   0.360
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.358   0.358   0.384   0.408
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[4][768,17,17]   0.257   0.251   0.267   0.310
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[4][768,17,17]   0.289   0.281   0.286   0.314
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[4][768,17,17]   0.150   0.147   0.149   0.171
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[4][160,17,17]   0.318   0.314   0.310   0.363
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[4][160,17,17]   0.318   0.315   0.313   0.366
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.317   0.316   0.309   0.352
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[4][160,17,17]   0.386   0.386   0.389   0.431
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[4][160,17,17]   0.322   0.332   0.320   0.379
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[4][160,17,17]   0.318   0.320   0.318   0.370
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[4][160,17,17]   0.378   0.382   0.374   0.470
                                                                         concat{"kernel_size":1}[4][768,17,17]   0.337   0.344   0.347   0.367
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.351   0.355   0.361   0.410
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[4][768,17,17]   0.255   0.255   0.252   0.316
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[4][768,17,17]   0.288   0.290   0.292   0.346
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[4][768,17,17]   0.149   0.148   0.154   0.175
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[4][160,17,17]   0.314   0.319   0.311   0.366
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[4][160,17,17]   0.319   0.324   0.321   0.377
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.315   0.309   0.316   0.374
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[4][160,17,17]   0.383   0.388   0.383   0.469
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[4][160,17,17]   0.323   0.323   0.347   0.388
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[4][160,17,17]   0.318   0.320   0.319   0.374
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[4][160,17,17]   0.375   0.375   0.373   0.458
                                                                         concat{"kernel_size":1}[4][768,17,17]   0.333   0.330   0.337   0.380
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.360   0.352   0.350   0.414
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.269   0.267   0.273   0.330
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.302   0.294   0.300   0.368
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[4][768,17,17]   0.146   0.145   0.148   0.171
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[4][192,17,17]   0.393   0.398   0.403   0.451
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[4][192,17,17]   0.393   0.388   0.394   0.491
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.313   0.313   0.310   0.390
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[4][192,17,17]   0.408   0.434   0.397   0.469
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[4][192,17,17]   0.397   0.391   0.400   0.479
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[4][192,17,17]   0.397   0.392   0.394   0.465
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[4][192,17,17]   0.402   0.396   0.396   0.472
                                                                         concat{"kernel_size":1}[4][768,17,17]   0.304   0.295   0.311   0.337
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.360   0.345   0.356   0.393
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][768,17,17]   0.312   0.298   0.311   0.302
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[4][768,17,17]   0.103   0.098   0.097   0.144
             conv2d{"in_channels":192,"kernel_size":3,"out_channels":320,"padding":0,"stride":2}[4][192,17,17]   0.493   0.527   0.601   0.672
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[4][192,17,17]   0.431   0.415   0.414   0.416
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[4][192,17,17]   0.413   0.395   0.403   0.399
             conv2d{"in_channels":192,"kernel_size":3,"out_channels":192,"padding":0,"stride":2}[4][192,17,17]   0.347   0.306   0.388   0.538
                                                                          concat{"kernel_size":1}[4][1280,8,8]   0.349   0.340   0.435   0.402
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[4][1280,8,8]   0.391   0.395   0.393   0.399
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[4][1280,8,8]   0.422   0.412   0.480   0.484
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[4][1280,8,8]   0.301   0.324   0.324   0.345
                                                avgPool2d{"kernel_size":3,"padding":1,"stride":1}[4][1280,8,8]   0.095   0.082   0.125   0.080
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[4][384,8,8]   0.439   0.464   0.460   0.490
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[4][384,8,8]   0.455   0.475   0.467   0.541
               conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[4][448,8,8]   0.643   0.708   0.700   0.793
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][1280,8,8]   0.336   0.338   0.334   0.363
                                                                           concat{"kernel_size":1}[4][768,8,8]   0.128   0.133   0.134   0.128
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[4][384,8,8]   0.461   0.485   0.501   0.535
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[4][384,8,8]   0.425   0.454   0.451   0.467
                                                                           concat{"kernel_size":1}[4][768,8,8]   0.121   0.125   0.126   0.127
                                                                          concat{"kernel_size":1}[4][2048,8,8]   0.424   0.433   0.438   0.432
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[4][2048,8,8]   0.543   0.559   0.575   0.650
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[4][2048,8,8]   0.474   0.473   0.487   0.512
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[4][2048,8,8]   0.353   0.357   0.361   0.365
                                                avgPool2d{"kernel_size":3,"padding":1,"stride":1}[4][2048,8,8]   0.108   0.104   0.111   0.113
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[4][384,8,8]   0.446   0.449   0.458   0.467
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[4][384,8,8]   0.462   0.477   0.499   0.475
               conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[4][448,8,8]   0.738   0.754   0.766   0.815
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[4][2048,8,8]   0.364   0.371   0.368   0.369
                                                                           concat{"kernel_size":1}[4][768,8,8]   0.136   0.135   0.159   0.142
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[4][384,8,8]   0.481   0.482   0.499   0.498
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[4][384,8,8]   0.464   0.473   0.476   0.508
                                                                           concat{"kernel_size":1}[4][768,8,8]   0.134   0.137   0.157   0.128
                                                                          concat{"kernel_size":1}[4][2048,8,8]   0.216   0.218   0.235   0.231
                                                  adAvgPool2d{"output_height":1,"output_width":1}[4][2048,8,8]   0.157   0.154   0.174   0.204
                                                                         flatten{"kernel_size":1}[4][2048,1,1]   0.108   0.107   0.132   0.166
                                             linear{"bias":true,"in_features":2048,"out_features":1000}[4]2048   0.097   0.096   0.097   0.104
                                                                                            SUM(avg)  42.084
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":3,"out_channels":32,"padding":0,"stride":2}[2][3,299,299]   0.215   0.213   0.211   0.240
              conv2d{"in_channels":32,"kernel_size":3,"out_channels":32,"padding":0,"stride":1}[2][32,149,149]   0.323   0.319   0.322   0.333
              conv2d{"in_channels":32,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[2][32,147,147]   0.428   0.428   0.433   0.457
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[2][64,147,147]   0.168   0.170   0.166   0.174
                conv2d{"in_channels":64,"kernel_size":1,"out_channels":80,"padding":0,"stride":1}[2][64,73,73]   0.250   0.258   0.252   0.255
               conv2d{"in_channels":80,"kernel_size":3,"out_channels":192,"padding":0,"stride":1}[2][80,73,73]   0.609   0.604   0.603   0.635
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[2][192,71,71]   0.307   0.302   0.294   0.323
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[2][192,35,35]   0.344   0.346   0.344   0.373
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[2][192,35,35]   0.310   0.304   0.305   0.325
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[2][192,35,35]   0.335   0.335   0.341   0.343
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[2][192,35,35]   0.139   0.138   0.139   0.146
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[2][48,35,35]   0.404   0.403   0.403   0.440
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[2][64,35,35]   0.379   0.378   0.374   0.391
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":32,"padding":0,"stride":1}[2][192,35,35]   0.284   0.278   0.284   0.292
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[2][96,35,35]   0.351   0.362   0.346   0.363
                                                                         concat{"kernel_size":1}[2][256,35,35]   0.349   0.357   0.358   0.354
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[2][256,35,35]   0.376   0.376   0.380   0.400
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[2][256,35,35]   0.342   0.344   0.343   0.350
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[2][256,35,35]   0.321   0.321   0.323   0.326
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[2][256,35,35]   0.150   0.150   0.153   0.159
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[2][48,35,35]   0.394   0.395   0.397   0.400
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[2][64,35,35]   0.374   0.372   0.376   0.391
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[2][256,35,35]   0.330   0.333   0.330   0.343
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[2][96,35,35]   0.348   0.347   0.350   0.355
                                                                         concat{"kernel_size":1}[2][288,35,35]   0.350   0.357   0.354   0.385
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[2][288,35,35]   0.358   0.362   0.363   0.375
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[2][288,35,35]   0.311   0.321   0.308   0.323
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[2][288,35,35]   0.301   0.302   0.331   0.321
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[2][288,35,35]   0.160   0.161   0.164   0.170
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[2][48,35,35]   0.393   0.386   0.391   0.437
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[2][64,35,35]   0.375   0.373   0.406   0.382
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[2][288,35,35]   0.318   0.314   0.314   0.331
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[2][96,35,35]   0.351   0.348   0.352   0.359
                                                                         concat{"kernel_size":1}[2][288,35,35]   0.303   0.310   0.299   0.341
             conv2d{"in_channels":288,"kernel_size":3,"out_channels":384,"padding":0,"stride":2}[2][288,35,35]   0.626   0.626   0.626   0.659
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[2][288,35,35]   0.294   0.318   0.292   0.255
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[2][288,35,35]   0.133   0.135   0.131   0.147
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[2][64,35,35]   0.376   0.378   0.396   0.388
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":0,"stride":2}[2][96,35,35]   0.382   0.381   0.386   0.401
                                                                         concat{"kernel_size":1}[2][768,17,17]   0.343   0.361   0.338   0.360
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.382   0.381   0.389   0.575
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[2][768,17,17]   0.308   0.310   0.317   0.507
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[2][768,17,17]   0.307   0.311   0.317   0.326
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[2][768,17,17]   0.131   0.138   0.134   0.179
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[2][128,17,17]   0.355   0.363   0.352   0.595
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[2][128,17,17]   0.362   0.374   0.373   0.524
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.347   0.352   0.354   0.543
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[2][128,17,17]   0.372   0.370   0.375   0.642
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[2][128,17,17]   0.358   0.375   0.369   0.586
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[2][128,17,17]   0.369   0.374   0.369   0.888
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[2][128,17,17]   0.402   0.405   0.412   0.660
                                                                         concat{"kernel_size":1}[2][768,17,17]   0.361   0.367   0.392   0.526
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.376   0.380   0.380   0.495
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[2][768,17,17]   0.306   0.308   0.320   0.466
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[2][768,17,17]   0.307   0.319   0.317   0.454
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[2][768,17,17]   0.126   0.131   0.131   0.131
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[2][160,17,17]   0.366   0.380   0.392   0.522
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[2][160,17,17]   0.405   0.423   0.417   0.627
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.342   0.353   0.360   0.532
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[2][160,17,17]   0.372   0.405   0.383   0.581
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[2][160,17,17]   0.362   0.376   0.366   0.541
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[2][160,17,17]   0.391   0.410   0.417   0.560
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[2][160,17,17]   0.364   0.380   0.369   0.528
                                                                         concat{"kernel_size":1}[2][768,17,17]   0.355   0.361   0.408   0.496
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.357   0.366   0.376   0.364
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[2][768,17,17]   0.291   0.269   0.318   0.420
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[2][768,17,17]   0.294   0.273   0.318   0.523
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[2][768,17,17]   0.118   0.106   0.131   0.152
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[2][160,17,17]   0.342   0.321   0.375   0.404
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[2][160,17,17]   0.379   0.357   0.420   0.703
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.309   0.296   0.345   0.397
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[2][160,17,17]   0.342   0.326   0.381   0.412
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[2][160,17,17]   0.341   0.320   0.381   0.572
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[2][160,17,17]   0.368   0.352   0.414   0.596
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[2][160,17,17]   0.339   0.328   0.361   0.411
                                                                         concat{"kernel_size":1}[2][768,17,17]   0.344   0.322   0.364   0.439
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.383   0.400   0.379   0.412
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.319   0.304   0.340   0.392
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.300   0.291   0.324   0.364
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[2][768,17,17]   0.111   0.112   0.139   0.163
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[2][192,17,17]   0.408   0.428   0.399   0.394
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[2][192,17,17]   0.368   0.350   0.399   0.415
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.336   0.345   0.295   0.345
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[2][192,17,17]   0.414   0.450   0.346   0.395
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[2][192,17,17]   0.385   0.346   0.411   0.431
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[2][192,17,17]   0.433   0.446   0.370   1.076
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[2][192,17,17]   0.416   0.459   0.346   0.402
                                                                         concat{"kernel_size":1}[2][768,17,17]   0.319   0.329   0.301   0.363
