                                                                                                       #config  avg(ms)    p50     p90     p99
   conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[128][192,17,17]   1.053   1.053   1.051   1.053
   conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[128][192,17,17]   1.056   1.057   1.057   1.055
   conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[128][192,17,17]   1.056   1.057   1.057   1.056
                                                                       concat{"kernel_size":1}[128][768,17,17]   1.075   1.075   1.075   1.075
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.033   1.032   1.035   1.031
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.006   1.005   1.005   1.111
                                             maxPool2d{"kernel_size":3,"padding":0,"stride":2}[128][768,17,17]   0.912   0.912   0.912   0.911
           conv2d{"in_channels":192,"kernel_size":3,"out_channels":320,"padding":0,"stride":2}[128][192,17,17]   0.621   0.618   0.620   0.621
   conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[128][192,17,17]   1.061   1.063   1.061   1.062
   conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[128][192,17,17]   1.053   1.052   1.052   1.055
           conv2d{"in_channels":192,"kernel_size":3,"out_channels":192,"padding":0,"stride":2}[128][192,17,17]   0.489   0.489   0.488   0.488
                                                                        concat{"kernel_size":1}[128][1280,8,8]   0.520   0.521   0.520   0.521
           conv2d{"in_channels":1280,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[128][1280,8,8]   0.492   0.492   0.493   0.493
           conv2d{"in_channels":1280,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[128][1280,8,8]   0.552   0.552   0.553   0.553
           conv2d{"in_channels":1280,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[128][1280,8,8]   0.606   0.607   0.621   0.601
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[128][1280,8,8]   0.916   0.916   0.916   0.924
     conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[128][384,8,8]   0.392   0.391   0.392   0.391
     conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[128][384,8,8]   0.382   0.381   0.382   0.382
             conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[128][448,8,8]   0.946   0.946   0.946   0.946
           conv2d{"in_channels":1280,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][1280,8,8]   0.411   0.411   0.411   0.410
                                                                         concat{"kernel_size":1}[128][768,8,8]   0.095   0.094   0.095   0.095
     conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[128][384,8,8]   0.395   0.395   0.394   0.394
     conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[128][384,8,8]   0.388   0.382   0.381   0.850
                                                                         concat{"kernel_size":1}[128][768,8,8]   0.103   0.103   0.104   0.104
                                                                        concat{"kernel_size":1}[128][2048,8,8]   0.803   0.802   0.804   0.803
           conv2d{"in_channels":2048,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[128][2048,8,8]   0.717   0.716   0.716   0.878
           conv2d{"in_channels":2048,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[128][2048,8,8]   0.779   0.778   0.778   0.778
           conv2d{"in_channels":2048,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[128][2048,8,8]   0.870   0.870   0.870   0.869
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[128][2048,8,8]   1.452   1.452   1.452   1.451
     conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[128][384,8,8]   0.392   0.392   0.393   0.393
     conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[128][384,8,8]   0.382   0.382   0.381   0.382
             conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[128][448,8,8]   0.948   0.948   0.949   0.950
